project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes
C4WLS - St. Francis,1,C4WLS OPTION 1,C4WLS OPTION 1,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/C4WLS_OPTION 1.pdf,TBD,.pdf,1122015,unparsed,C4WLS_OPTION 1.pdf
C4WLS - St. Francis,1,C4WLS OPTION 1,C4WLS OPTION 1,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/C4WLS_OPTION 1 (1).pdf,TBD,.pdf,1122015,unparsed,sub email/C4WLS_OPTION 1 (1).pdf
C4WLS - St. Francis,1,ROM Option 1.xls,ROM Option 1.xls,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/ROM Option 1.xls.pdf,TBD,.pdf,113826,unparsed,ROM Option 1.xls.pdf
C4WLS - St. Francis,1,ROM Option 1,ROM Option 1,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/ROM Option 1.xls,TBD,.xls,423424,unparsed,ROM Option 1.xls
C4WLS - St. Francis,2,C4WLS OPTION 2,C4WLS OPTION 2,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/C4WLS_OPTION 2.pdf,TBD,.pdf,897790,unparsed,C4WLS_OPTION 2.pdf
C4WLS - St. Francis,2,C4WLS OPTION 2,C4WLS OPTION 2,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/C4WLS_OPTION 2 (1).pdf,TBD,.pdf,897790,unparsed,sub email/C4WLS_OPTION 2 (1).pdf
C4WLS - St. Francis,2,ROM Option 2.xls,ROM Option 2.xls,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/ROM Option 2.xls.pdf,TBD,.pdf,113863,unparsed,ROM Option 2.xls.pdf
C4WLS - St. Francis,2,ROM Option 2,ROM Option 2,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/ROM Option 2.xls,TBD,.xls,423424,unparsed,ROM Option 2.xls
C4WLS - St. Francis,unknown,Apex Flooring,Apex Flooring,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/Apex Flooring.pdf,TBD,.pdf,982515,unparsed,Sub Bids/Apex Flooring.pdf
C4WLS - St. Francis,unknown,CWLS Brooklake SP.01,CWLS Brooklake SP.01,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/CWLS_Brooklake _SP.01.pdf,TBD,.pdf,178603,unparsed,CWLS_Brooklake _SP.01.pdf
