project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes,vendor_master_match,master_trade_section,match_type,match_score,needs_review,eml_from_email
C4WLS - St. Francis,1,C4WLS OPTION 1,C4WLS OPTION 1,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/C4WLS_OPTION 1.pdf,pages=unknown,.pdf,1122015,indexed_pdf,C4WLS_OPTION 1.pdf,"NW Partitions, Inc.",TOILET PARTITIONS AND ACCESSORIES,fuzzy,52,yes,
C4WLS - St. Francis,1,C4WLS OPTION 1,C4WLS OPTION 1,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/C4WLS_OPTION 1 (1).pdf,pages=unknown,.pdf,1122015,indexed_pdf,sub email/C4WLS_OPTION 1 (1).pdf,"NW Partitions, Inc.",TOILET PARTITIONS AND ACCESSORIES,fuzzy,52,yes,
C4WLS - St. Francis,1,ROM Option 1.xls,ROM Option 1.xls,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/ROM Option 1.xls.pdf,pages=3,.pdf,113826,indexed_pdf,ROM Option 1.xls.pdf,Pro Paint Solutions,PAINTING,fuzzy,51,yes,
C4WLS - St. Francis,1,ROM Option 1,ROM Option 1,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/ROM Option 1.xls,"sheets=unknown (openpyxl does not support the old .xls file format, please use xlrd to read this file, or convert it to the more recent .xlsx file format.)",.xls,423424,indexed_excel,ROM Option 1.xls,Aero Construction,SITE WORK,fuzzy,55,yes,
C4WLS - St. Francis,2,C4WLS OPTION 2,C4WLS OPTION 2,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/C4WLS_OPTION 2.pdf,pages=unknown,.pdf,897790,indexed_pdf,C4WLS_OPTION 2.pdf,"NW Partitions, Inc.",TOILET PARTITIONS AND ACCESSORIES,fuzzy,52,yes,
C4WLS - St. Francis,2,C4WLS OPTION 2,C4WLS OPTION 2,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/C4WLS_OPTION 2 (1).pdf,pages=unknown,.pdf,897790,indexed_pdf,sub email/C4WLS_OPTION 2 (1).pdf,"NW Partitions, Inc.",TOILET PARTITIONS AND ACCESSORIES,fuzzy,52,yes,
C4WLS - St. Francis,2,ROM Option 2.xls,ROM Option 2.xls,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/ROM Option 2.xls.pdf,pages=3,.pdf,113863,indexed_pdf,ROM Option 2.xls.pdf,Pro Paint Solutions,PAINTING,fuzzy,51,yes,
C4WLS - St. Francis,2,ROM Option 2,ROM Option 2,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/ROM Option 2.xls,"sheets=unknown (openpyxl does not support the old .xls file format, please use xlrd to read this file, or convert it to the more recent .xlsx file format.)",.xls,423424,indexed_excel,ROM Option 2.xls,Aero Construction,SITE WORK,fuzzy,55,yes,
C4WLS - St. Francis,unknown,Apex Flooring,Apex Flooring,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/Apex Flooring.pdf,pages=unknown,.pdf,982515,indexed_pdf,Sub Bids/Apex Flooring.pdf,Apex Flooring,FLOORING,exact,100,no,
C4WLS - St. Francis,unknown,CWLS Brooklake SP.01,CWLS Brooklake SP.01,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/CWLS_Brooklake _SP.01.pdf,pages=unknown,.pdf,178603,indexed_pdf,CWLS_Brooklake _SP.01.pdf,NW Woodworks,MILLWORK,fuzzy,38,yes,
C4WLS - St. Francis,unknown,Olympic,Olympic,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/Olympic.pdf,pages=unknown,.pdf,64932,indexed_pdf,Sub Bids/Olympic.pdf,Olympic Paving,ASPHALT & PAVING,fuzzy,67,yes,
C4WLS - St. Francis,unknown,Pro Paint Solutions,Pro Paint Solutions,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/Pro Paint Solutions.pdf,pages=5,.pdf,163495,indexed_pdf,Sub Bids/Pro Paint Solutions.pdf,Pro Paint Solutions,PAINTING,exact,100,no,
C4WLS - St. Francis,unknown,Scope Details,Scope Details,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Scope Details.pdf,pages=8,.pdf,88277,indexed_pdf,Scope Details.pdf,Meyer Metals Inc,STEEL/TRUSSES,fuzzy,56,yes,
C4WLS - St. Francis,unknown,Scope Details & ROMs,Scope Details & ROMs,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Scope Details & ROMs.pdf,pages=unknown,.pdf,312284,indexed_pdf,Scope Details & ROMs.pdf,ProComm Protection & Comm.,FIRE ALARM,fuzzy,53,yes,
C4WLS - St. Francis,unknown,St Francis Fl.2 Floor Plan EXISTING,St Francis Fl.2 Floor Plan EXISTING,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/St Francis_Fl.2-Floor Plan_EXISTING.pdf,pages=unknown,.pdf,173205,indexed_pdf,St Francis_Fl.2-Floor Plan_EXISTING.pdf,Spectra Contract Flooring,FLOORING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,St Francis Fl.2 Floor Plan EXISTING,St Francis Fl.2 Floor Plan EXISTING,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/St Francis_Fl.2-Floor Plan_EXISTING (1).pdf,pages=unknown,.pdf,173205,indexed_pdf,sub email/St Francis_Fl.2-Floor Plan_EXISTING (1).pdf,Spectra Contract Flooring,FLOORING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,UR,UR,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/UR.pdf,pages=unknown,.pdf,157948,indexed_pdf,Sub Bids/UR.pdf,ARH Inc,CONCRETE,fuzzy,40,yes,
C4WLS - St. Francis,unknown,WW Wells,WW Wells,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/WW Wells.pdf,pages=unknown,.pdf,72284,indexed_pdf,Sub Bids/WW Wells.pdf,W.W. Wells,MILLWORK,fuzzy,94,no,
