project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes,pdf_proof_bucket,doc_role
Kite - Sierra Trading Lakewood,unknown,2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits,2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Email to Subs/2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits.xlsx,TBD,.xlsx,73801,unparsed,Email to Subs/2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits.xlsx,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits,2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sierra Trading Company/2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits.xlsx,TBD,.xlsx,73801,unparsed,Sierra Trading Company/2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits.xlsx,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (With WSST),2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (With WSST),unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (With WSST).xlsx,TBD,.xlsx,70861,unparsed,2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (With WSST).xlsx,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,2 Revised Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (With WSST),2 Revised Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (With WSST),unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Bid Package/2 Revised - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (With WSST).xlsx,TBD,.xlsx,71473,unparsed,Bid Package/2 Revised - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (With WSST).xlsx,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,BUDGET,BUDGET,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/BUDGET.xls,TBD,.xls,417280,unparsed,BUDGET.xls,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,Budget R1,Budget R1,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Budget R1.xls,TBD,.xls,423936,unparsed,Budget R1.xls,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,Copy of 2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (Revised),Copy of 2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (Revised),unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Copy of 2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (Revised).xlsx,TBD,.xlsx,71210,unparsed,Copy of 2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (Revised).xlsx,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,Copy of 2 Revised Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (With WSST),Copy of 2 Revised Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (With WSST),unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Copy of 2 Revised - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (With WSST).xlsx,TBD,.xlsx,71210,unparsed,Copy of 2 Revised - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (With WSST).xlsx,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,DNR Dirt Wurx,DNR Dirt Wurx,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sub Bids/DNR Dirt Wurx.docx,TBD,.docx,39377,unparsed,Sub Bids/DNR Dirt Wurx.docx,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,DNR Revised,DNR Revised,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sub Bids/DNR-Revised.docx,TBD,.docx,39795,unparsed,Sub Bids/DNR-Revised.docx,UNKNOWN,UNKNOWN
